fabricante,propiedad,espesor_nominal_mm,valores_convertidos,naturaleza,metodo,direccion,valor_original_impreso,comparable_astm
gob.pe,espesor_promedio,1.0,1.0,rango,ASTM D5199 o NTP 339.512,,"1,00 ± 0,1 mm",si
gob.pe,negro_humo_contenido,1.0,2.0|3.0,rango,ASTM D4218,,"2,0 - 3,0 %",si
gob.pe,negro_humo_dispersion,1.0,categoría 1 - 2,rango,ASTM D5596,,categoría 1 - 2,si
gob.pe,densidad,1.0,0.94,minimo,ASTM D792,,"≥ 0,940 g/cm3",si
gob.pe,resistencia_uv,1.0,80.0,minimo,ASTM D7238 / ASTM G154 / ASTM D5885,,80 %,si
gob.pe,traccion_rotura,1.0,27.0,minimo,ASTM D6693,no-indicada,≥ 27 KN/m,si
gob.pe,traccion_fluencia,1.0,15.0,minimo,ASTM D6693,no-indicada,≥ 15 KN/m,si
gob.pe,desgarre,1.0,125.0,minimo,ASTM D1004,no-indicada,≥ 125 N,si
gob.pe,punzonamiento,1.0,320.0,minimo,ASTM D4833,no-indicada,≥ 320 N,si
gob.pe,elongacion_rotura,1.0,700.0,minimo,ASTM D6693,no-indicada,≥ 700 %,si
gob.pe,elongacion_fluencia,1.0,12.0,minimo,ASTM D6693,no-indicada,≥ 12 %,si
gob.pe,envejecimiento_horno,1.0,80.0,minimo,ASTM D5721 / ASTM D5885,,80 %,si
AGRU,espesor_promedio,1.0,1.0,minimo,ASTM D5199,,1.0 (40) mm (mils),si
AGRU,densidad,1.0,0.94,minimo,ASTM D1505/D792,,0.94 g/cm3,si
AGRU,traccion_fluencia,1.0,15.0,minimo,ASTM D6693,no-indicada,15 (88) kN/m (lb/in),si
AGRU,traccion_rotura,1.0,28.0,minimo,ASTM D6693,no-indicada,28 (160) kN/m (lb/in),si
AGRU,elongacion_fluencia,1.0,13.0,minimo,ASTM D6693,no-indicada,13 %,si
AGRU,elongacion_rotura,1.0,700.0,minimo,ASTM D6693,no-indicada,700 %,si
AGRU,punzonamiento,1.0,360.0,minimo,ASTM D4833,no-indicada,0.36 (80) kN (lb),si
AGRU,desgarre,1.0,130.0,minimo,ASTM D1004,no-indicada,0.13 (30) kN (lb),si
AGRU,negro_humo_contenido,1.0,2.0|3.0,rango,ASTM D1603,,2–3 %,si
AGRU,negro_humo_dispersion,1.0,Cat 1/2,minimo,ASTM D5596,,Cat 1/2,si
AGRU,scr,1.0,1000.0,minimo,ASTM D5397 (SP-NCTL),,1000 h,si
AGRU,oit_std,1.0,160.0,minimo,ASTM D3895,,160 min,si
AGRU,oit_hp,1.0,800.0,minimo,ASTM D5885,,800 min,si
AGRU,envejecimiento_horno,1.0,55.0,minimo,ASTM D5721 + D3895,,55 %,si
AGRU,envejecimiento_horno,1.0,80.0,minimo,ASTM D5721 + D5885,,80 %,si
AGRU,resistencia_uv,1.0,80.0,minimo,GM11 (D5885 tras 1600 h),,80 %,si
AGRU,espesor_promedio,1.5,1.5,minimo,ASTM D5199,,1.5 (60) mm (mils),si
AGRU,densidad,1.5,0.94,minimo,ASTM D1505/D792,,0.94 g/cm3,si
AGRU,traccion_fluencia,1.5,23.0,minimo,ASTM D6693,no-indicada,23 (132) kN/m (lb/in),si
AGRU,traccion_rotura,1.5,42.0,minimo,ASTM D6693,no-indicada,42 (240) kN/m (lb/in),si
AGRU,elongacion_fluencia,1.5,13.0,minimo,ASTM D6693,no-indicada,13 %,si
AGRU,elongacion_rotura,1.5,700.0,minimo,ASTM D6693,no-indicada,700 %,si
AGRU,punzonamiento,1.5,530.0,minimo,ASTM D4833,no-indicada,0.53 (120) kN (lb),si
AGRU,desgarre,1.5,200.0,minimo,ASTM D1004,no-indicada,0.20 (45) kN (lb),si
AGRU,negro_humo_contenido,1.5,2.0|3.0,rango,ASTM D1603,,2–3 %,si
AGRU,negro_humo_dispersion,1.5,Cat 1/2,minimo,ASTM D5596,,Cat 1/2,si
AGRU,scr,1.5,1000.0,minimo,ASTM D5397 (SP-NCTL),,1000 h,si
AGRU,oit_std,1.5,160.0,minimo,ASTM D3895,,160 min,si
AGRU,oit_hp,1.5,800.0,minimo,ASTM D5885,,800 min,si
AGRU,envejecimiento_horno,1.5,55.0,minimo,ASTM D5721 + D3895,,55 %,si
AGRU,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
AGRU,resistencia_uv,1.5,80.0,minimo,GM11 (D5885 tras 1600 h),,80 %,si
Atarfil,densidad,1.0,0.942,minimo,ASTM D1505/D792,,"≥ 0,942 g/cm3",si
Atarfil,elongacion_fluencia,1.0,12.0,minimo,ASTM D6693,no-indicada,> 12 %,si
Atarfil,elongacion_rotura,1.0,700.0,minimo,ASTM D6693,no-indicada,≥ 700 %,si
Atarfil,negro_humo_contenido,1.0,2.0|2.5,rango,ASTM D1603,,2–2.5 %,si
Atarfil,negro_humo_dispersion,1.0,1.2,minimo,ASTM D5596,,1.2,si
Atarfil,scr,1.0,3000.0,minimo,ASTM D5397 (SP-NCTL),,≥3000 h,si
Atarfil,oit_std,1.0,100.0,minimo,ASTM D3895,,100 min,si
Atarfil,oit_hp,1.0,400.0,minimo,ASTM D5885,,≥400 min,si
Atarfil,envejecimiento_horno,1.0,55.0,minimo,ASTM D5721 + D3895,,55 %,si
Atarfil,envejecimiento_horno,1.0,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Atarfil,resistencia_uv,1.0,70.0,minimo,GM11 (D5885 tras 1600 h),,70 %,si
Atarfil,densidad,1.5,0.942,minimo,ASTM D1505/D792,,"≥ 0,942 g/cm3",si
Atarfil,elongacion_fluencia,1.5,12.0,minimo,ASTM D6693,no-indicada,> 12 %,si
Atarfil,elongacion_rotura,1.5,700.0,minimo,ASTM D6693,no-indicada,≥ 700 %,si
Atarfil,negro_humo_contenido,1.5,2.0|2.5,rango,ASTM D1603,,2–2.5 %,si
Atarfil,negro_humo_dispersion,1.5,1.2,minimo,ASTM D5596,,1.2,si
Atarfil,scr,1.5,3000.0,minimo,ASTM D5397 (SP-NCTL),,≥3000 h,si
Atarfil,oit_std,1.5,100.0,minimo,ASTM D3895,,100 min,si
Atarfil,oit_hp,1.5,400.0,minimo,ASTM D5885,,≥400 min,si
Atarfil,envejecimiento_horno,1.5,55.0,minimo,ASTM D5721 + D3895,,55 %,si
Atarfil,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Atarfil,resistencia_uv,1.5,70.0,minimo,GM11 (D5885 tras 1600 h),,70 %,si
GSE,espesor_promedio,1.0,1.0,minimo,ASTM D5199,,1.0 (40) mm (mils),si
GSE,densidad,1.0,0.94,minimo,ASTM D1505/D792,,0.940 g/cm3,si
GSE,traccion_fluencia,1.0,15.0,minimo,ASTM D6693,no-indicada,15 (84) kN/m (lb/in),si
GSE,traccion_rotura,1.0,27.0,minimo,ASTM D6693,no-indicada,27 (152) kN/m (lb/in),si
GSE,elongacion_fluencia,1.0,12.0,minimo,ASTM D6693,no-indicada,12 %,si
GSE,elongacion_rotura,1.0,700.0,minimo,ASTM D6693,no-indicada,700 %,si
GSE,punzonamiento,1.0,320.0,minimo,ASTM D4833,no-indicada,0.320 (72) kN (lb),si
GSE,desgarre,1.0,125.0,minimo,ASTM D1004,no-indicada,0.125 (28) kN (lb),si
GSE,negro_humo_contenido,1.0,2.0|3.0,rango,ASTM D1603,,2–3 %,si
GSE,negro_humo_dispersion,1.0,"1, 2, 3",minimo,ASTM D5596,,"1, 2, 3",si
GSE,scr,1.0,300.0,minimo,ASTM D5397 (SP-NCTL),,300 h,si
GSE,oit_std,1.0,100.0,minimo,ASTM D3895,,100 min,si
GSE,oit_hp,1.0,400.0,minimo,ASTM D5885,,400 min,si
GSE,envejecimiento_horno,1.0,55.0,minimo,ASTM D5721 + D3895,,55 %,si
GSE,envejecimiento_horno,1.0,80.0,minimo,ASTM D5721 + D5885,,80 %,si
GSE,resistencia_uv,1.0,50.0,minimo,GM11 (D5885 tras 1600 h),,50 %,si
GSE,espesor_promedio,1.5,1.5,minimo,ASTM D5199,,1.5 (60) mm (mils),si
GSE,densidad,1.5,0.94,minimo,ASTM D1505/D792,,0.940 g/cm3,si
GSE,traccion_fluencia,1.5,22.0,minimo,ASTM D6693,no-indicada,22 (126) kN/m (lb/in),si
GSE,traccion_rotura,1.5,40.0,minimo,ASTM D6693,no-indicada,40 (228) kN/m (lb/in),si
GSE,elongacion_fluencia,1.5,12.0,minimo,ASTM D6693,no-indicada,12 %,si
GSE,elongacion_rotura,1.5,700.0,minimo,ASTM D6693,no-indicada,700 %,si
GSE,punzonamiento,1.5,480.0,minimo,ASTM D4833,no-indicada,0.480 (108) kN (lb),si
GSE,desgarre,1.5,187.0,minimo,ASTM D1004,no-indicada,0.187 (42) kN (lb),si
GSE,negro_humo_contenido,1.5,2.0|3.0,rango,ASTM D1603,,2–3 %,si
GSE,negro_humo_dispersion,1.5,"1, 2, 3",minimo,ASTM D5596,,"1, 2, 3",si
GSE,scr,1.5,300.0,minimo,ASTM D5397 (SP-NCTL),,300 h,si
GSE,oit_std,1.5,100.0,minimo,ASTM D3895,,100 min,si
GSE,oit_hp,1.5,400.0,minimo,ASTM D5885,,400 min,si
GSE,envejecimiento_horno,1.5,55.0,minimo,ASTM D5721 + D3895,,55 %,si
GSE,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
GSE,resistencia_uv,1.5,50.0,minimo,GM11 (D5885 tras 1600 h),,50 %,si
GSE,espesor_promedio,1.5,1.5,minimo,ASTM D5199,,1.5 (60) mm (mils),si
GSE,densidad,1.5,0.94,minimo,ASTM D1505/D792,,0.940 g/cm3,si
GSE,traccion_fluencia,1.5,23.0,minimo,ASTM D6693,no-indicada,23 (132) kN/m (lb/in),si
GSE,traccion_rotura,1.5,42.0,minimo,ASTM D6693,no-indicada,42 (243) kN/m (lb/in),si
GSE,elongacion_fluencia,1.5,13.0,minimo,ASTM D6693,no-indicada,13 %,si
GSE,elongacion_rotura,1.5,800.0,minimo,ASTM D6693,no-indicada,800 %,si
GSE,punzonamiento,1.5,556.0,minimo,ASTM D4833,no-indicada,0.556 (125) kN (lb),si
GSE,desgarre,1.5,187.0,minimo,ASTM D1004,no-indicada,0.187 (42) kN (lb),si
GSE,negro_humo_contenido,1.5,2.0|3.0,rango,ASTM D1603,,2–3 %,si
GSE,negro_humo_dispersion,1.5,"1, 2, 3",minimo,ASTM D5596,,"1, 2, 3",si
GSE,scr,1.5,1000.0,minimo,ASTM D5397 (SP-NCTL),,1000 h,si
GSE,oit_std,1.5,160.0,minimo,ASTM D3895,,160 min,si
GSE,oit_hp,1.5,800.0,minimo,ASTM D5885,,800 min,si
GSE,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
GSE,resistencia_uv,1.5,80.0,minimo,GM11 (D5885 tras 1600 h),,80 %,si
Huitex,densidad,1.0,0.94,minimo,ASTM D1505/D792,,0.940 g/cm3,si
Huitex,elongacion_fluencia,1.0,13.0,minimo,ASTM D6693,no-indicada,13 %,si
Huitex,elongacion_rotura,1.0,700.0,minimo,ASTM D6693,no-indicada,700 %,si
Huitex,negro_humo_contenido,1.0,2.0|3.0,rango,ASTM D1603,,2.0 ~ 3.0 %,si
Huitex,negro_humo_dispersion,1.0,cat.1/2,minimo,ASTM D5596,,cat.1/2,si
Huitex,scr,1.0,500.0,minimo,ASTM D5397 (SP-NCTL),,500 h,si
Huitex,oit_std,1.0,100.0,minimo,ASTM D3895,,100 min,si
Huitex,oit_hp,1.0,400.0,minimo,ASTM D5885,,400 min,si
Huitex,envejecimiento_horno,1.0,55.0,minimo,ASTM D5721 + D3895,,55 %,si
Huitex,envejecimiento_horno,1.0,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Huitex,resistencia_uv,1.0,50.0,minimo,GM11 (D5885 tras 1600 h),,50 %,si
Huitex,densidad,1.5,0.94,minimo,ASTM D1505/D792,,0.940 g/cm3,si
Huitex,elongacion_fluencia,1.5,13.0,minimo,ASTM D6693,no-indicada,13 %,si
Huitex,elongacion_rotura,1.5,700.0,minimo,ASTM D6693,no-indicada,700 %,si
Huitex,negro_humo_contenido,1.5,2.0|3.0,rango,ASTM D1603,,2.0 ~ 3.0 %,si
Huitex,negro_humo_dispersion,1.5,cat.1/2,minimo,ASTM D5596,,cat.1/2,si
Huitex,scr,1.5,500.0,minimo,ASTM D5397 (SP-NCTL),,500 h,si
Huitex,oit_std,1.5,100.0,minimo,ASTM D3895,,100 min,si
Huitex,oit_hp,1.5,400.0,minimo,ASTM D5885,,400 min,si
Huitex,envejecimiento_horno,1.5,55.0,minimo,ASTM D5721 + D3895,,55 %,si
Huitex,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Huitex,resistencia_uv,1.5,50.0,minimo,GM11 (D5885 tras 1600 h),,50 %,si
Layfield,espesor_promedio,1.5,1.5,minimo,ASTM D5199,,1.5 (60) mm (mils),si
Layfield,densidad,1.5,0.94,minimo,ASTM D1505/D792,,≥ 0.94 g/cm3,si
Layfield,traccion_fluencia,1.5,22.0,minimo,ASTM D6693,no-indicada,22 (126) kN/m (lb/in),si
Layfield,traccion_rotura,1.5,40.0,minimo,ASTM D6693,no-indicada,40 (228) kN/m (lb/in),si
Layfield,elongacion_fluencia,1.5,12.0,minimo,ASTM D6693,no-indicada,12 %,si
Layfield,elongacion_rotura,1.5,700.0,minimo,ASTM D6693,no-indicada,700 %,si
Layfield,punzonamiento,1.5,480.0,minimo,ASTM D4833,no-indicada,0.48 (108) kN (lb),si
Layfield,desgarre,1.5,187.0,minimo,ASTM D1004,no-indicada,0.187 (42) kN (lb),si
Layfield,negro_humo_contenido,1.5,2.0,minimo,ASTM D1603,,≥ 2.0 %,si
Layfield,negro_humo_dispersion,1.5,Note [5],minimo,ASTM D5596,,Note [5],si
Layfield,scr,1.5,500.0,minimo,ASTM D5397 (SP-NCTL),,500 h,si
Layfield,oit_std,1.5,100.0,minimo,ASTM D3895,,100 min,si
Layfield,oit_hp,1.5,400.0,minimo,ASTM D5885,,400 min,si
Layfield,envejecimiento_horno,1.5,55.0,minimo,ASTM D5721 + D3895,,55 %,si
Layfield,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Layfield,resistencia_uv,1.5,50.0,minimo,GM11 (D5885 tras 1600 h),,50 %,si
Layfield,espesor_promedio,1.5,1.5,minimo,ASTM D5199,,1.5 (60) mm (mils),si
Layfield,densidad,1.5,0.94,minimo,ASTM D1505/D792,,≥ 0.94 g/cm3,si
Layfield,traccion_fluencia,1.5,20.0,minimo,ASTM D6693,no-indicada,20 (114) kN/m (lb/in),si
Layfield,traccion_rotura,1.5,30.0,minimo,ASTM D6693,no-indicada,30 (171) kN/m (lb/in),si
Layfield,elongacion_fluencia,1.5,13.0,minimo,ASTM D6693,no-indicada,13 %,si
Layfield,elongacion_rotura,1.5,600.0,minimo,ASTM D6693,no-indicada,600 %,si
Layfield,punzonamiento,1.5,480.0,minimo,ASTM D4833,no-indicada,0.48 (108) kN (lb),si
Layfield,desgarre,1.5,187.0,minimo,ASTM D1004,no-indicada,0.187 (42) kN (lb),si
Layfield,negro_humo_contenido,1.5,2.0,minimo,ASTM D1603,,≥ 2.0 %,si
Layfield,negro_humo_dispersion,1.5,CAT1,minimo,ASTM D5596,,CAT1,si
Layfield,scr,1.5,1000.0,minimo,ASTM D5397 (SP-NCTL),,1000 h,si
Layfield,oit_std,1.5,100.0,minimo,ASTM D3895,,100 min,si
Layfield,oit_hp,1.5,400.0,minimo,ASTM D5885,,400 min,si
Layfield,envejecimiento_horno,1.5,55.0,minimo,ASTM D5721 + D3895,,55 %,si
Layfield,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Layfield,resistencia_uv,1.5,50.0,minimo,GM11 (D5885 tras 1600 h),,50 %,si
Layfield,espesor_promedio,1.5,1.5,minimo,ASTM D5199,,1.5 (60) mm (mils),si
Layfield,densidad,1.5,0.94,minimo,ASTM D1505/D792,,≥ 0.94 g/cm3,si
Layfield,traccion_fluencia,1.5,27.0,minimo,ASTM D6693,no-indicada,27 (152) kN/m (lb/in),si
Layfield,traccion_rotura,1.5,40.0,minimo,ASTM D6693,no-indicada,40 (228) kN/m (lb/in),si
Layfield,elongacion_fluencia,1.5,13.0,minimo,ASTM D6693,no-indicada,13 %,si
Layfield,elongacion_rotura,1.5,600.0,minimo,ASTM D6693,no-indicada,600 %,si
Layfield,punzonamiento,1.5,640.0,minimo,ASTM D4833,no-indicada,0.64 (144) kN (lb),si
Layfield,desgarre,1.5,249.0,minimo,ASTM D1004,no-indicada,0.249 (56) kN (lb),si
Layfield,negro_humo_contenido,1.5,2.0,minimo,ASTM D1603,,≥ 2.0 %,si
Layfield,negro_humo_dispersion,1.5,CAT1,minimo,ASTM D5596,,CAT1,si
Layfield,scr,1.5,1000.0,minimo,ASTM D5397 (SP-NCTL),,1000 h,si
Layfield,oit_std,1.5,100.0,minimo,ASTM D3895,,100 min,si
Layfield,oit_hp,1.5,400.0,minimo,ASTM D5885,,400 min,si
Layfield,envejecimiento_horno,1.5,55.0,minimo,ASTM D5721 + D3895,,55 %,si
Layfield,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Layfield,resistencia_uv,1.5,50.0,minimo,GM11 (D5885 tras 1600 h),,50 %,si
Layfield,espesor_promedio,1.5,1.5,minimo,ASTM D5199,,1.5 (60) mm (mils),si
Layfield,densidad,1.5,0.94,minimo,ASTM D1505/D792,,≥ 0.94 g/cm3,si
Layfield,traccion_fluencia,1.5,27.0,minimo,ASTM D6693,no-indicada,27 (152) kN/m (lb/in),si
Layfield,traccion_rotura,1.5,40.0,minimo,ASTM D6693,no-indicada,40 (228) kN/m (lb/in),si
Layfield,elongacion_fluencia,1.5,13.0,minimo,ASTM D6693,no-indicada,13 %,si
Layfield,elongacion_rotura,1.5,600.0,minimo,ASTM D6693,no-indicada,600 %,si
Layfield,punzonamiento,1.5,400.0,minimo,ASTM D4833,no-indicada,0.4 (90) kN (lb),si
Layfield,desgarre,1.5,187.0,minimo,ASTM D1004,no-indicada,0.187 (42) kN (lb),si
Layfield,negro_humo_contenido,1.5,2.0,minimo,ASTM D1603,,≥ 2.0 %,si
Layfield,negro_humo_dispersion,1.5,CAT1,minimo,ASTM D5596,,CAT1,si
Layfield,scr,1.5,1000.0,minimo,ASTM D5397 (SP-NCTL),,1000 h,si
Layfield,oit_std,1.5,100.0,minimo,ASTM D3895,,100 min,si
Layfield,oit_hp,1.5,400.0,minimo,ASTM D5885,,400 min,si
Layfield,envejecimiento_horno,1.5,55.0,minimo,ASTM D5721 + D3895,,55 %,si
Layfield,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Layfield,resistencia_uv,1.5,50.0,minimo,GM11 (D5885 tras 1600 h),,50 %,si
Solmax,densidad,1.5,0.94,minimo,ASTM D1505/D792,,0.940 g/cm3,si
Solmax,traccion_fluencia,1.5,23.0,rango,ASTM D6693,no-indicada,23-44 (132-251) kN/m (lb/in),si
Solmax,traccion_rotura,1.5,43.0,rango,ASTM D6693,no-indicada,43-80 (243-457) kN/m (lb/in),si
Solmax,elongacion_fluencia,1.5,13.0,minimo,ASTM D6693,no-indicada,13 %,si
Solmax,punzonamiento,1.5,550.0,rango,ASTM D4833,no-indicada,0.55-0.96 (125-216) kN (lb),si
Solmax,desgarre,1.5,180.0,rango,ASTM D1004,no-indicada,0.18-0.37 (42-83) kN (lb),si
Solmax,negro_humo_contenido,1.5,2.0,rango,ASTM D1603,,2-3 %,si
Solmax,negro_humo_dispersion,1.5,1 or 2,minimo,ASTM D5596,,1 or 2,si
Solmax,scr,1.5,1000.0,minimo,ASTM D5397 (SP-NCTL),,1000 h,si
Solmax,oit_std,1.5,160.0,minimo,ASTM D3895,,160 min,si
Solmax,oit_hp,1.5,800.0,minimo,ASTM D5885,,800 min,si
Solmax,envejecimiento_horno,1.5,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Solmax,resistencia_uv,1.5,80.0,minimo,GM11 (D5885 tras 1600 h),,80 %,si
Solmax,densidad,1.0,0.94,minimo,ASTM D1505/D792,,0.940 g/cm3,si
Solmax,elongacion_fluencia,1.0,13.0,minimo,ASTM D6693,no-indicada,13 %,si
Solmax,negro_humo_contenido,1.0,2.0,rango,ASTM D1603,,2-3 %,si
Solmax,negro_humo_dispersion,1.0,1 or 2,minimo,ASTM D5596,,1 or 2,si
Solmax,scr,1.0,500.0,minimo,ASTM D5397 (SP-NCTL),,500 h,si
Solmax,oit_std,1.0,100.0,minimo,ASTM D3895,,100 min,si
Solmax,oit_hp,1.0,400.0,minimo,ASTM D5885,,400 min,si
Solmax,envejecimiento_horno,1.0,80.0,minimo,ASTM D5721 + D5885,,80 %,si
Solmax,resistencia_uv,1.0,50.0,minimo,GM11 (D5885 tras 1600 h),,50 %,si
GSE,espesor_promedio,1.0,1.0,tipico,DIN EN ISO 9863-1,,1.0 mm,no
GSE,traccion_fluencia,1.0,17.0,tipico,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,17 MPa,no
GSE,traccion_fluencia,1.0,16.0,minimo,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,16 MPa,no
GSE,elongacion_fluencia,1.0,10.0,tipico,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,10 %,no
GSE,elongacion_fluencia,1.0,9.0,minimo,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,9 %,no
GSE,traccion_rotura,1.0,35.0,tipico,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,35 MPa,no
GSE,traccion_rotura,1.0,26.0,minimo,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,26 MPa,no
GSE,elongacion_rotura,1.0,800.0,tipico,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,800 %,no
GSE,elongacion_rotura,1.0,700.0,minimo,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,700 %,no
GSE,desgarre,1.0,135.0,tipico,DIN ISO 34-1/B,no-indicada,135 N,no
GSE,desgarre,1.0,120.0,minimo,DIN ISO 34-1/B,no-indicada,120 N,no
GSE,espesor_promedio,1.5,1.5,tipico,DIN EN ISO 9863-1,,1.5 mm,no
GSE,traccion_fluencia,1.5,25.5,tipico,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,17 MPa,no
GSE,traccion_fluencia,1.5,24.0,minimo,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,16 MPa,no
GSE,elongacion_fluencia,1.5,11.0,tipico,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,11 %,no
GSE,elongacion_fluencia,1.5,10.0,minimo,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,10 %,no
GSE,traccion_rotura,1.5,52.5,tipico,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,35 MPa,no
GSE,traccion_rotura,1.5,39.0,minimo,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,26 MPa,no
GSE,elongacion_rotura,1.5,800.0,tipico,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,800 %,no
GSE,elongacion_rotura,1.5,700.0,minimo,DIN EN ISO 527-3 (Type 5; 100 mm/min; lo = 50 mm),no-indicada,700 %,no
GSE,desgarre,1.5,210.0,tipico,DIN ISO 34-1/B,no-indicada,210 N,no
GSE,desgarre,1.5,195.0,minimo,DIN ISO 34-1/B,no-indicada,195 N,no
GSE,oit_std,1.0,100.0,minimo,ASTM D8117,,100 mins,no
GSE,oit_std,1.5,100.0,minimo,ASTM D8117,,100 mins,no
NAUE,oit_std,1.0,100.0,minimo,EN 728 / ISO 11357-6,,>= 100 min,no
NAUE,traccion_fluencia,1.0,16.0,minimo,EN ISO 527-3,no-indicada,>= 16 N/mm,no
NAUE,traccion_fluencia,1.0,15.0,minimo,EN ISO 527-3,no-indicada,>= 15 MPa,no
NAUE,elongacion_fluencia,1.0,10.0,minimo,EN ISO 527-3,no-indicada,>= 10 %,no
NAUE,traccion_rotura,1.0,26.0,tipico,EN ISO 527-3,no-indicada,26 N/mm,no
NAUE,traccion_rotura,1.0,26.0,tipico,EN ISO 527-3,no-indicada,26 MPa,no
NAUE,elongacion_rotura,1.0,600.0,tipico,EN ISO 527-3,no-indicada,600 %,no
NAUE,desgarre,1.0,130.0,tipico,ISO 34-1,no-indicada,130 N,no
NAUE,resistencia_uv,1.0,50.0,tipico,ASTM D3895,,50 %,no
NAUE,resistencia_uv,1.5,50.0,tipico,ASTM D3895,,50 %,no
Atarfil,oit_std,1.0,100.0,minimo,UNE EN 728 (200ºC),,>100 min,no
Atarfil,traccion_fluencia,1.0,18.0,tipico,UNE-EN ISO 527 (Tipo V),no-indicada,18 N/mm,no
Atarfil,traccion_fluencia,1.0,17.0,minimo,UNE-EN ISO 527 (Tipo V),no-indicada,17 N/mm,no
Atarfil,elongacion_fluencia,1.0,10.0,tipico,UNE-EN ISO 527 (Tipo V),no-indicada,10 %,no
Atarfil,elongacion_fluencia,1.0,9.0,minimo,UNE-EN ISO 527 (Tipo V),no-indicada,9 %,no
Atarfil,traccion_rotura,1.0,32.0,tipico,UNE-EN ISO 527 (Tipo V),no-indicada,32 N/mm,no
Atarfil,traccion_rotura,1.0,26.0,minimo,UNE-EN ISO 527 (Tipo V),no-indicada,26 N/mm,no
Atarfil,elongacion_rotura,1.0,800.0,tipico,UNE-EN ISO 527 (Tipo V),no-indicada,800 %,no
Atarfil,elongacion_rotura,1.0,700.0,minimo,UNE-EN ISO 527 (Tipo V),no-indicada,700 %,no
Atarfil,desgarre,1.0,140.0,minimo,ISO 34-1,no-indicada,≥ 140 N,no
Atarfil,oit_std,1.5,100.0,minimo,UNE EN 728 (200ºC),,>100 min,no
Atarfil,traccion_fluencia,1.5,27.0,tipico,UNE-EN ISO 527 (Tipo V),no-indicada,27 N/mm,no
Atarfil,traccion_fluencia,1.5,25.0,minimo,UNE-EN ISO 527 (Tipo V),no-indicada,25 N/mm,no
Atarfil,elongacion_fluencia,1.5,10.0,tipico,UNE-EN ISO 527 (Tipo V),no-indicada,10 %,no
Atarfil,elongacion_fluencia,1.5,9.0,minimo,UNE-EN ISO 527 (Tipo V),no-indicada,9 %,no
Atarfil,traccion_rotura,1.5,48.0,tipico,UNE-EN ISO 527 (Tipo V),no-indicada,48 N/mm,no
Atarfil,traccion_rotura,1.5,39.0,minimo,UNE-EN ISO 527 (Tipo V),no-indicada,39 N/mm,no
Atarfil,elongacion_rotura,1.5,800.0,tipico,UNE-EN ISO 527 (Tipo V),no-indicada,800 %,no
Atarfil,elongacion_rotura,1.5,700.0,minimo,UNE-EN ISO 527 (Tipo V),no-indicada,700 %,no
Atarfil,desgarre,1.5,210.0,minimo,ISO 34-1,no-indicada,≥ 210 N,no
Sotrafa,espesor_minimo,1.0,1.0,tipico,UNE-EN 1849-2,no-indicada,1.00 +- 5 % mm,no
Sotrafa,traccion_rotura,1.0,33.0,tipico,"UNE-EN ISO 527-3, probeta tipo 5",no-indicada,33 (>= 26) MPa,no
Sotrafa,elongacion_rotura,1.0,900.0,tipico,"UNE-EN ISO 527-3, probeta tipo 5",no-indicada,900 (>= 700) %,no
Sotrafa,traccion_fluencia,1.0,19.0,tipico,"UNE-EN ISO 527-3, probeta tipo 5",no-indicada,19 (>= 16) MPa,no
